@[ LOG ][2013-12-21 12:27:03:598]: 	Program start.
@[ERROR][2013-12-21 12:27:38:876]: 	can not load URL. : http://www.amazon.com/gift-cards/b?ie=UTF8&node=2238192011	:Read timed out
@[ERROR][2013-12-21 12:28:22:906]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=3427287011	:Read timed out
@[ERROR][2013-12-21 12:28:27:206]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 12:28:28:559]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=2478844011	:Read timed out
@[ERROR][2013-12-21 12:28:28:999]: 	can not load URL. : http://www.amazon.com/mobile-apps/b?ie=UTF8&node=2350149011	:Read timed out
@[ERROR][2013-12-21 12:28:33:422]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=5267605011	:Read timed out
@[ERROR][2013-12-21 12:28:33:687]: 	can not load URL. : http://www.amazon.com/b?ie=UTF8&node=6923534011	:Read timed out
@[ERROR][2013-12-21 12:28:34:717]: 	can not load URL. : http://www.amazon.com/pc-mac-software-downloads/b?ie=UTF8&node=1233514011	:Read timed out
@[ERROR][2013-12-21 12:28:35:824]: 	can not load URL. : http://www.amazon.com/PlayStation-Network/b?ie=UTF8&node=1289533011	:Read timed out
@[ERROR][2013-12-21 12:28:57:079]: 	can not load URL. : http://www.amazon.com/PC-Games/b?ie=UTF8&node=229575	:Read timed out
@[ERROR][2013-12-21 12:28:59:080]: 	can not load URL. : http://www.amazon.com/Printers-Office-Electronics/b?ie=UTF8&node=172635	:Read timed out
@[ERROR][2013-12-21 12:29:02:156]: 	can not load URL. : http://www.amazon.com/furniture-decor-rugs-lamps-beds-tv-stands/b?ie=UTF8&node=1057794	:Read timed out
@[ERROR][2013-12-21 12:29:06:285]: 	can not load URL. : http://www.amazon.com/Arts-Crafts-Sewing/b?ie=UTF8&node=2617941011	:Read timed out
@[ERROR][2013-12-21 12:29:09:085]: 	can not load URL. : http://www.amazon.com/lighting-and-ceiling-fans/b?ie=UTF8&node=495224	:Read timed out
@[ERROR][2013-12-21 12:29:09:098]: 	can not load URL. : http://www.amazon.com/Kitchen-and-Bath-Fixtures/b?ie=UTF8&node=3754161	:Read timed out
@[ERROR][2013-12-21 12:29:09:270]: 	can not load URL. : http://www.amazon.com/Power-Tools-and-Hand-Tools/b?ie=UTF8&node=328182011	:Read timed out
@[ERROR][2013-12-21 12:29:09:478]: 	can not load URL. : http://www.amazon.com/Tools-and-Home-Improvement/b?ie=UTF8&node=228013	:Read timed out
@[ERROR][2013-12-21 12:29:09:640]: 	can not load URL. : http://www.amazon.com/Hardware-Locks-and-Fasteners/b?ie=UTF8&node=511228	:Read timed out
@[ERROR][2013-12-21 12:29:10:448]: 	can not load URL. : http://www.amazon.com/home-automation-smarthome/b?ie=UTF8&node=6563140011	:Read timed out
@[ERROR][2013-12-21 12:29:14:753]: 	can not load URL. : http://www.amazon.com/grocery-breakfast-foods-snacks-organic/b?ie=UTF8&node=16310101	:Read timed out
@[ERROR][2013-12-21 12:29:15:389]: 	can not load URL. : http://www.amazon.com/Natural-Organic-Grocery/b?ie=UTF8&node=51537011	:Read timed out
@[ERROR][2013-12-21 12:29:15:890]: 	can not load URL. : http://www.amazon.com/flowers-bouquets-indoor-plants/b?ie=UTF8&node=3745171	:Read timed out
@[ERROR][2013-12-21 12:29:16:194]: 	can not load URL. : http://www.amazon.com/Wine-Red-White-Sparkling-Dessert-Rose/b?ie=UTF8&node=2983386011	:Read timed out
@[ERROR][2013-12-21 12:29:19:077]: 	can not load URL. : http://www.amazon.com/l/2402554011	:Read timed out
@[ERROR][2013-12-21 12:29:19:762]: 	can not load URL. : http://www.amazon.com/Kids-Family/b?ie=UTF8&node=471306	:Read timed out
@[ERROR][2013-12-21 12:29:24:156]: 	can not load URL. : http://www.amazon.com/Luggage-Bags-Travel-Accessories-Clothing/b?ie=UTF8&node=15743161	:Read timed out
@[ERROR][2013-12-21 12:29:26:464]: 	can not load URL. : http://www.amazon.com/outdoor-gear/b?ie=UTF8&node=706814011	:Read timed out
@[ERROR][2013-12-21 12:29:28:383]: 	can not load URL. : http://www.amazon.com/Boating-Water-Sports-Outdoors/b?ie=UTF8&node=3421331	:Read timed out
@[ERROR][2013-12-21 12:29:31:195]: 	can not load URL. : http://www.amazon.com/Sports-Collectibles/b?ie=UTF8&node=3250697011	:Read timed out
@[ERROR][2013-12-21 12:29:31:640]: 	can not load URL. : http://www.amazon.com/Golf-Sports-Outdoors/b?ie=UTF8&node=3410851	:Read timed out
@[ERROR][2013-12-21 12:29:46:852]: 	can not load URL. : http://www.amazon.com/gp/browse/?ie=UTF8&node=7700810011	:Read timed out
